emoji,description_en,description_es,description_pt
👮🏼‍♂️,man police officer medium-light skin tone,hombre de policía tono de piel de luz media,Tom de pele de leve luz do policial de homem
👮🏼‍♂,man police officer medium-light skin tone,hombre de policía tono de piel de luz media,Tom de pele de leve luz do policial de homem
👮🏽‍♂️,man police officer medium skin tone,hombre de policía tono de piel mediana,Tom de pele média do policial do homem
👮🏽‍♂,man police officer medium skin tone,hombre de policía tono de piel mediana,Tom de pele média do policial do homem
🙎‍♂️,man pouting,Hombre haciendo pucheros,Homem fazendo beicinho
🙎‍♂,man pouting,Hombre haciendo pucheros,Homem fazendo beicinho
🙎🏿‍♂️,man pouting dark skin tone,Hombre haciendo pucheros tono de piel oscura,homem fazendo beicinho para o tom escuro
🙎🏿‍♂,man pouting dark skin tone,Hombre haciendo pucheros tono de piel oscura,homem fazendo beicinho para o tom escuro
🙎🏻‍♂️,man pouting light skin tone,Hombre haciendo puchero tono de piel clara,Homem fazendo beicinho para o tom da pele
🙎🏻‍♂,man pouting light skin tone,Hombre haciendo puchero tono de piel clara,Homem fazendo beicinho para o tom da pele
🙎🏾‍♂️,man pouting medium-dark skin tone,Hombre haciendo pucheros tono de piel medio-oscuridad,Hom
🙎🏾‍♂,man pouting medium-dark skin tone,Hombre haciendo pucheros tono de piel medio-oscuridad,Hom
🙎🏼‍♂️,man pouting medium-light skin tone,Hombre haciendo puchero tono de piel de luz media,Hom
🙎🏼‍♂,man pouting medium-light skin tone,Hombre haciendo puchero tono de piel de luz media,Hom
🙎🏽‍♂️,man pouting medium skin tone,Hombre haciendo pucheros tono de piel mediana,Hom
🙎🏽‍♂,man pouting medium skin tone,Hombre haciendo pucheros tono de piel mediana,Hom
🙋‍♂️,man raising hand,Hombre levantando la mano,homem levantando a mão
🙋‍♂,man raising hand,Hombre levantando la mano,homem levantando a mão
🙋🏿‍♂️,man raising hand dark skin tone,Hombre levantando el tono de piel oscura de la mano,homem levantando o tom de pele escura da mão
🙋🏿‍♂,man raising hand dark skin tone,Hombre levantando el tono de piel oscura de la mano,homem levantando o tom de pele escura da mão
🙋🏻‍♂️,man raising hand light skin tone,Hombre levantando el tono de piel clara de la mano,homem levantando o tom de pele leve à mão
🙋🏻‍♂,man raising hand light skin tone,Hombre levantando el tono de piel clara de la mano,homem levantando o tom de pele leve à mão
🙋🏾‍♂️,man raising hand medium-dark skin tone,Hombre levantando la mano de la piel medio-oscuridad,homem levantando o tom de pele média-escuro da mão
🙋🏾‍♂,man raising hand medium-dark skin tone,Hombre levantando la mano de la piel medio-oscuridad,homem levantando o tom de pele média-escuro da mão
🙋🏼‍♂️,man raising hand medium-light skin tone,Hombre levantando la mano de la piel de luz media,homem levantando o tom de pele de luz média da mão
🙋🏼‍♂,man raising hand medium-light skin tone,Hombre levantando la mano de la piel de luz media,homem levantando o tom de pele de luz média da mão
🙋🏽‍♂️,man raising hand medium skin tone,Hombre levantando el tono de piel mediana de la mano,homem levantando o tom de pele média da mão
🙋🏽‍♂,man raising hand medium skin tone,Hombre levantando el tono de piel mediana de la mano,homem levantando o tom de pele média da mão
👨‍🦰,man red hair,Cabello rojo del hombre,Homem de cabelo ruivo
🚣‍♂️,man rowing boat,Barco de remo de hombre,barco a remo
🚣‍♂,man rowing boat,Barco de remo de hombre,barco a remo
🚣🏿‍♂️,man rowing boat dark skin tone,Barco de hombre de hombre tono de piel oscura,Tom de pele escura de barco a remo de homem
🚣🏿‍♂,man rowing boat dark skin tone,Barco de hombre de hombre tono de piel oscura,Tom de pele escura de barco a remo de homem
🚣🏻‍♂️,man rowing boat light skin tone,tono de piel clara de bote de remo de hombre,tom de remo de remo de lavar o tom leve de pele
🚣🏻‍♂,man rowing boat light skin tone,tono de piel clara de bote de remo de hombre,tom de remo de remo de lavar o tom leve de pele
🚣🏾‍♂️,man rowing boat medium-dark skin tone,Tono de piel mediana y media,tom de remo de remo de remoções de remo de escuro médio escuro
🚣🏾‍♂,man rowing boat medium-dark skin tone,Tono de piel mediana y media,tom de remo de remo de remoções de remo de escuro médio escuro
🚣🏼‍♂️,man rowing boat medium-light skin tone,Barco de remo de hombre tono de piel de luz media,tom de remo de remo de lavar a luz de luz média
🚣🏼‍♂,man rowing boat medium-light skin tone,Barco de remo de hombre tono de piel de luz media,tom de remo de remo de lavar a luz de luz média
🚣🏽‍♂️,man rowing boat medium skin tone,Tono de piel mediana de bote de remo de hombre,Tom de pele de barco a remo de homens
🚣🏽‍♂,man rowing boat medium skin tone,Tono de piel mediana de bote de remo de hombre,Tom de pele de barco a remo de homens
🏃‍♂️,man running,hombre corriendo,homem correndo
🏃‍♂,man running,hombre corriendo,homem correndo
🏃🏿‍♂️,man running dark skin tone,hombre corriendo tono de piel oscura,homem correndo com tom escuro de pele
🏃🏿‍♂,man running dark skin tone,hombre corriendo tono de piel oscura,homem correndo com tom escuro de pele
🏃‍♂️‍➡️,man running facing right,Hombre corriendo hacia la derecha,homem correndo de frente para a direita
🏃‍♂‍➡️,man running facing right,Hombre corriendo hacia la derecha,homem correndo de frente para a direita
🏃‍♂️‍➡,man running facing right,Hombre corriendo hacia la derecha,homem correndo de frente para a direita
🏃‍♂‍➡,man running facing right,Hombre corriendo hacia la derecha,homem correndo de frente para a direita
🏃🏿‍♂️‍➡️,man running facing right dark skin tone,Hombre corriendo mirando a la derecha tono de piel oscura,homem correndo voltado para o tom da pele escura direta
🏃🏿‍♂‍➡️,man running facing right dark skin tone,Hombre corriendo mirando a la derecha tono de piel oscura,homem correndo voltado para o tom da pele escura direta
🏃🏿‍♂️‍➡,man running facing right dark skin tone,Hombre corriendo mirando a la derecha tono de piel oscura,homem correndo voltado para o tom da pele escura direta
🏃🏿‍♂‍➡,man running facing right dark skin tone,Hombre corriendo mirando a la derecha tono de piel oscura,homem correndo voltado para o tom da pele escura direta
🏃🏻‍♂️‍➡️,man running facing right light skin tone,Hombre corriendo hacia el tono de piel claro derecho,homem correndo voltado para o tom da pele clara certa
🏃🏻‍♂‍➡️,man running facing right light skin tone,Hombre corriendo hacia el tono de piel claro derecho,homem correndo voltado para o tom da pele clara certa
🏃🏻‍♂️‍➡,man running facing right light skin tone,Hombre corriendo hacia el tono de piel claro derecho,homem correndo voltado para o tom da pele clara certa
🏃🏻‍♂‍➡,man running facing right light skin tone,Hombre corriendo hacia el tono de piel claro derecho,homem correndo voltado para o tom da pele clara certa
🏃🏾‍♂️‍➡️,man running facing right medium-dark skin tone,Hombre corriendo hacia el tono de piel medio-oscuridad de la derecha derecha,Hom
🏃🏾‍♂‍➡️,man running facing right medium-dark skin tone,Hombre corriendo hacia el tono de piel medio-oscuridad de la derecha derecha,Hom
🏃🏾‍♂️‍➡,man running facing right medium-dark skin tone,Hombre corriendo hacia el tono de piel medio-oscuridad de la derecha derecha,Hom
🏃🏾‍♂‍➡,man running facing right medium-dark skin tone,Hombre corriendo hacia el tono de piel medio-oscuridad de la derecha derecha,Hom
🏃🏼‍♂️‍➡️,man running facing right medium-light skin tone,Hombre corriendo hacia la derecha tono de piel de luz media,homem correndo voltado para o tom da pele média à direita
🏃🏼‍♂‍➡️,man running facing right medium-light skin tone,Hombre corriendo hacia la derecha tono de piel de luz media,homem correndo voltado para o tom da pele média à direita
🏃🏼‍♂️‍➡,man running facing right medium-light skin tone,Hombre corriendo hacia la derecha tono de piel de luz media,homem correndo voltado para o tom da pele média à direita
🏃🏼‍♂‍➡,man running facing right medium-light skin tone,Hombre corriendo hacia la derecha tono de piel de luz media,homem correndo voltado para o tom da pele média à direita
🏃🏽‍♂️‍➡️,man running facing right medium skin tone,Hombre corriendo mirando a la derecha tono de piel media,Hom
🏃🏽‍♂‍➡️,man running facing right medium skin tone,Hombre corriendo mirando a la derecha tono de piel media,Hom
🏃🏽‍♂️‍➡,man running facing right medium skin tone,Hombre corriendo mirando a la derecha tono de piel media,Hom
🏃🏽‍♂‍➡,man running facing right medium skin tone,Hombre corriendo mirando a la derecha tono de piel media,Hom
🏃🏻‍♂️,man running light skin tone,Hombre corriendo tono de piel clara,Homem com tom de pele leve
🏃🏻‍♂,man running light skin tone,Hombre corriendo tono de piel clara,Homem com tom de pele leve
🏃🏾‍♂️,man running medium-dark skin tone,Hombre que corre el tono de piel medio-oscuridad,Homem executando o tom de pele média-escuro
🏃🏾‍♂,man running medium-dark skin tone,Hombre que corre el tono de piel medio-oscuridad,Homem executando o tom de pele média-escuro
🏃🏼‍♂️,man running medium-light skin tone,Hombre corriendo tono de piel de luz media,Homem executando tom de pele de luz média
🏃🏼‍♂,man running medium-light skin tone,Hombre corriendo tono de piel de luz media,Homem executando tom de pele de luz média
🏃🏽‍♂️,man running medium skin tone,Hombre corriendo tono de piel medio,Homem executando tom de pele média
🏃🏽‍♂,man running medium skin tone,Hombre corriendo tono de piel medio,Homem executando tom de pele média
👨‍🔬,man scientist,científico hombre,Cientista do homem
👨🏿‍🔬,man scientist dark skin tone,tono de piel oscura científica del hombre,Tom do cientista escuro do cientista do homem
👨🏻‍🔬,man scientist light skin tone,tono de piel clara científica del hombre,tom cientista do tom de pele clara
👨🏾‍🔬,man scientist medium-dark skin tone,tono de piel de hombre científico medio-oscuridad,Tom de pele do cientista do cientista do homem
👨🏼‍🔬,man scientist medium-light skin tone,tono de piel de luz media científica,Tom da pele da luz média cientista do homem
👨🏽‍🔬,man scientist medium skin tone,tono de piel media científica de hombre,Tom de pele média cientista do homem
🤷‍♂️,man shrugging,hombre de hombros,Homem encolhendo os ombros
🤷‍♂,man shrugging,hombre de hombros,Homem encolhendo os ombros
🤷🏿‍♂️,man shrugging dark skin tone,Hombre encogido de hombros tono de piel oscura,Homem ombros de pele escura
🤷🏿‍♂,man shrugging dark skin tone,Hombre encogido de hombros tono de piel oscura,Homem ombros de pele escura
🤷🏻‍♂️,man shrugging light skin tone,tono de piel clara de hombros hombre de hombros,Homem ombros de pele clara
🤷🏻‍♂,man shrugging light skin tone,tono de piel clara de hombros hombre de hombros,Homem ombros de pele clara
🤷🏾‍♂️,man shrugging medium-dark skin tone,tono de piel mediana y media,Homem de ombros de ombros no tom de pele média-escuro
🤷🏾‍♂,man shrugging medium-dark skin tone,tono de piel mediana y media,Homem de ombros de ombros no tom de pele média-escuro
🤷🏼‍♂️,man shrugging medium-light skin tone,tono de piel de luz media de hombros hombre de hombros,homem de ombros de ombros em tom de pele média
🤷🏼‍♂,man shrugging medium-light skin tone,tono de piel de luz media de hombros hombre de hombros,homem de ombros de ombros em tom de pele média
🤷🏽‍♂️,man shrugging medium skin tone,tono de piel mediana de hombros hombre de hombros,Homem de ombros de ombros no tom de pele média
🤷🏽‍♂,man shrugging medium skin tone,tono de piel mediana de hombros hombre de hombros,Homem de ombros de ombros no tom de pele média
👨‍🎤,man singer,cantante de hombre,Cantor
👨🏿‍🎤,man singer dark skin tone,tono de piel oscura del cantante de hombre,Tom de pele escura cantora do homem
👨🏻‍🎤,man singer light skin tone,tono de piel de luz de cantante de hombre,Tom de pele leve do cantor de homem
👨🏾‍🎤,man singer medium-dark skin tone,tono de piel de maniobra mediana de hombre,Singer de homem de pele média-escuro
👨🏼‍🎤,man singer medium-light skin tone,tono de piel de luz media de la luz del hombre,Tom de pele de luz média cantora do homem
👨🏽‍🎤,man singer medium skin tone,tono de piel mediana del cantante de hombre,Tom de pele média do cantor de homem
🧍‍♂️,man standing,hombre de pie,homem em pé
🧍‍♂,man standing,hombre de pie,homem em pé
🧍🏿‍♂️,man standing dark skin tone,Hombre de pie Tono de piel oscura,homem em pé de pele escura
🧍🏿‍♂,man standing dark skin tone,Hombre de pie Tono de piel oscura,homem em pé de pele escura
🧍🏻‍♂️,man standing light skin tone,Tono de piel de luz de pie de pie,Homem em pé de pele clara
🧍🏻‍♂,man standing light skin tone,Tono de piel de luz de pie de pie,Homem em pé de pele clara
🧍🏾‍♂️,man standing medium-dark skin tone,tono de piel de hombre de pie mediano y oscuro,Homem em pé de pele média-escura
🧍🏾‍♂,man standing medium-dark skin tone,tono de piel de hombre de pie mediano y oscuro,Homem em pé de pele média-escura
🧍🏼‍♂️,man standing medium-light skin tone,Hombre de pie de la piel de luz media,Homem em pé de pele de luz média em pé
🧍🏼‍♂,man standing medium-light skin tone,Hombre de pie de la piel de luz media,Homem em pé de pele de luz média em pé
🧍🏽‍♂️,man standing medium skin tone,tono de piel mediana de pie de pie,Tom de pele média em pé
🧍🏽‍♂,man standing medium skin tone,tono de piel mediana de pie de pie,Tom de pele média em pé
👨‍🎓,man student,estudiante de hombre,estudante de homem
👨🏿‍🎓,man student dark skin tone,tono de piel oscura del estudiante del hombre,Tom de pele escura do aluno do homem
👨🏻‍🎓,man student light skin tone,tono de piel clara del estudiante,Tom de pele leve do aluno
👨🏾‍🎓,man student medium-dark skin tone,Tono de piel de Man Student Medium Dark Dark,Tom de pele de estudante de estudante de homem
👨🏼‍🎓,man student medium-light skin tone,tono de piel de la luz media del estudiante,Tom de pele de luz do aluno de estudante
👨🏽‍🎓,man student medium skin tone,tono de piel mediana de estudiante hombre,Tom de pele média do aluno
🦸‍♂️,man superhero,superhéroe,super -herói homem
🦸‍♂,man superhero,superhéroe,super -herói homem
🦸🏿‍♂️,man superhero dark skin tone,tono de piel oscura superhéroe de superhéroes,Tom de pele escura de super -herói do homem
🦸🏿‍♂,man superhero dark skin tone,tono de piel oscura superhéroe de superhéroes,Tom de pele escura de super -herói do homem
🦸🏻‍♂️,man superhero light skin tone,tono de piel clara de superhéroe de superhéroes,tom de super -herói de super -herói tom de pele
🦸🏻‍♂,man superhero light skin tone,tono de piel clara de superhéroe de superhéroes,tom de super -herói de super -herói tom de pele
🦸🏾‍♂️,man superhero medium-dark skin tone,tono de piel de maniobra mediana de superhéroes de hombre,Tom de pele de super-herói de super-herói do homem
🦸🏾‍♂,man superhero medium-dark skin tone,tono de piel de maniobra mediana de superhéroes de hombre,Tom de pele de super-herói de super-herói do homem
🦸🏼‍♂️,man superhero medium-light skin tone,tono de piel de la luz media del superhéroe,tom de super-herói de super-herói tom de pele
🦸🏼‍♂,man superhero medium-light skin tone,tono de piel de la luz media del superhéroe,tom de super-herói de super-herói tom de pele
🦸🏽‍♂️,man superhero medium skin tone,tono de piel mediana superhéroe de superhéroes,Tom de pele média de super -herói homem
🦸🏽‍♂,man superhero medium skin tone,tono de piel mediana superhéroe de superhéroes,Tom de pele média de super -herói homem
🦹‍♂️,man supervillain,supervillano de hombre,supervilão do homem
🦹‍♂,man supervillain,supervillano de hombre,supervilão do homem
🦹🏿‍♂️,man supervillain dark skin tone,tono de piel oscura supervillana de hombre,Tom de pele escura do supervilão do homem
🦹🏿‍♂,man supervillain dark skin tone,tono de piel oscura supervillana de hombre,Tom de pele escura do supervilão do homem
🦹🏻‍♂️,man supervillain light skin tone,tono de piel clara de supervillano del hombre,Tom de pele de supervilão do homem
🦹🏻‍♂,man supervillain light skin tone,tono de piel clara de supervillano del hombre,Tom de pele de supervilão do homem
🦹🏾‍♂️,man supervillain medium-dark skin tone,tono de piel de maniobra mediana de supervillano de hombre,Man Tom de pele de supervilão médio-escuro
🦹🏾‍♂,man supervillain medium-dark skin tone,tono de piel de maniobra mediana de supervillano de hombre,Man Tom de pele de supervilão médio-escuro
🦹🏼‍♂️,man supervillain medium-light skin tone,tono de piel de la luz media del supervillano del hombre,Tom de pele de supervilão média do homem
🦹🏼‍♂,man supervillain medium-light skin tone,tono de piel de la luz media del supervillano del hombre,Tom de pele de supervilão média do homem
🦹🏽‍♂️,man supervillain medium skin tone,tono de piel mediana supervillano de hombre,Tom de pele média do supervilão do homem
🦹🏽‍♂,man supervillain medium skin tone,tono de piel mediana supervillano de hombre,Tom de pele média do supervilão do homem
🏄‍♂️,man surfing,Surfo de hombre,homem surfando
🏄‍♂,man surfing,Surfo de hombre,homem surfando
🏄🏿‍♂️,man surfing dark skin tone,Hombre surfeando tono de piel oscura,Homem surfando no tom da pele escura
🏄🏿‍♂,man surfing dark skin tone,Hombre surfeando tono de piel oscura,Homem surfando no tom da pele escura
🏄🏻‍♂️,man surfing light skin tone,tono de piel de luz de surf de hombre,Homem surfando no tom da pele
🏄🏻‍♂,man surfing light skin tone,tono de piel de luz de surf de hombre,Homem surfando no tom da pele
🏄🏾‍♂️,man surfing medium-dark skin tone,tono de piel de hombre mareo de manifiesto,Homem surfando no tom de pele de médio escuro
🏄🏾‍♂,man surfing medium-dark skin tone,tono de piel de hombre mareo de manifiesto,Homem surfando no tom de pele de médio escuro
🏄🏼‍♂️,man surfing medium-light skin tone,tono de piel de luz mediana del hombre,Homem surfando em tom de pele de luz média
🏄🏼‍♂,man surfing medium-light skin tone,tono de piel de luz mediana del hombre,Homem surfando em tom de pele de luz média
🏄🏽‍♂️,man surfing medium skin tone,tono de piel mediana de surf de hombre,Homem surfando em tom de pele média
🏄🏽‍♂,man surfing medium skin tone,tono de piel mediana de surf de hombre,Homem surfando em tom de pele média
🏊‍♂️,man swimming,hombre nadando,homem nadando
🏊‍♂,man swimming,hombre nadando,homem nadando
🏊🏿‍♂️,man swimming dark skin tone,Hombre nadando tono de piel oscura,Homem nadando no tom da pele escura
🏊🏿‍♂,man swimming dark skin tone,Hombre nadando tono de piel oscura,Homem nadando no tom da pele escura
🏊🏻‍♂️,man swimming light skin tone,tono de piel clara de natación,Homem nando um tom de pele clara
🏊🏻‍♂,man swimming light skin tone,tono de piel clara de natación,Homem nando um tom de pele clara
🏊🏾‍♂️,man swimming medium-dark skin tone,tono de piel de hombre medio-oscuridad,Hom
🏊🏾‍♂,man swimming medium-dark skin tone,tono de piel de hombre medio-oscuridad,Hom
🏊🏼‍♂️,man swimming medium-light skin tone,Hombre nadando tono de piel de luz media,homem de natação tom de pele de luz média
🏊🏼‍♂,man swimming medium-light skin tone,Hombre nadando tono de piel de luz media,homem de natação tom de pele de luz média
🏊🏽‍♂️,man swimming medium skin tone,tono de piel mediana del hombre que nadan,homem de natação tom de pele média
🏊🏽‍♂,man swimming medium skin tone,tono de piel mediana del hombre que nadan,homem de natação tom de pele média
👨‍🏫,man teacher,maestro de hombre,professor de homem
👨🏿‍🏫,man teacher dark skin tone,Man maestro tono de piel oscura,Tom de pele escura do professor do homem
👨🏻‍🏫,man teacher light skin tone,tono de piel clara del maestro,Tom de pele leve professor de homem
👨🏾‍🏫,man teacher medium-dark skin tone,tono de piel de hombre maestro medio-oscuridad,Tom de pele do professor-professor do homem
👨🏼‍🏫,man teacher medium-light skin tone,Tono de piel de la luz del maestro de la luz del hombre,Tom de pele de luz do professor de homem
👨🏽‍🏫,man teacher medium skin tone,tono de piel mediana de maestro de maestro,Tom de pele média do professor
👨‍💻,man technologist,tecnólogo de hombre,Tecnólogo do homem
👨🏿‍💻,man technologist dark skin tone,Tono de piel oscura del tecnólogo de hombre,Tecnologista de homem escuro tom de pele
👨🏻‍💻,man technologist light skin tone,tono de piel clara del hombre tecnólogo,Tecnólogo de homem leve Tom de pele leve
👨🏾‍💻,man technologist medium-dark skin tone,tono de piel de color hombre tecnólogo medio-oscuridad,Tecnólogo de homem de pele de pele média-escura
👨🏼‍💻,man technologist medium-light skin tone,Tono de piel de luz de la luz del hombre tecnólogo,Tecnólogo de homem do tom de luz média-luz
👨🏽‍💻,man technologist medium skin tone,tono de piel mediana de tecnólogo de hombre,Tecnólogo de homem de pele média de pele
💁‍♂️,man tipping hand,Mano de propina del hombre,Homem que inclina a mão
💁‍♂,man tipping hand,Mano de propina del hombre,Homem que inclina a mão
💁🏿‍♂️,man tipping hand dark skin tone,Tono de piel oscura de la mano del hombre.,homem que derrubando o tom da pele escura
💁🏿‍♂,man tipping hand dark skin tone,Tono de piel oscura de la mano del hombre.,homem que derrubando o tom da pele escura
💁🏻‍♂️,man tipping hand light skin tone,tono de piel claro de mano de mano del hombre,Hom
💁🏻‍♂,man tipping hand light skin tone,tono de piel claro de mano de mano del hombre,Hom
💁🏾‍♂️,man tipping hand medium-dark skin tone,Tono de piel de color medio-oscuridad de la mano del hombre,Hom
💁🏾‍♂,man tipping hand medium-dark skin tone,Tono de piel de color medio-oscuridad de la mano del hombre,Hom
💁🏼‍♂️,man tipping hand medium-light skin tone,Tono de piel de luz media de la mano del hombre,Hom
💁🏼‍♂,man tipping hand medium-light skin tone,Tono de piel de luz media de la mano del hombre,Hom
💁🏽‍♂️,man tipping hand medium skin tone,tono de piel mediana de mano de mano de hombre,homem que derrubando o tom de pele média da mão
💁🏽‍♂,man tipping hand medium skin tone,tono de piel mediana de mano de mano de hombre,homem que derrubando o tom de pele média da mão
🧛‍♂️,man vampire,vampiro hombre,Homem vampiro
🧛‍♂,man vampire,vampiro hombre,Homem vampiro
🧛🏿‍♂️,man vampire dark skin tone,tono de piel oscura de vampiros vampiros,homem de vampiro escuro tom de pele
🧛🏿‍♂,man vampire dark skin tone,tono de piel oscura de vampiros vampiros,homem de vampiro escuro tom de pele
🧛🏻‍♂️,man vampire light skin tone,tono de piel clara de vampiro de hombre,Tom de pele leve de vampiro de homem
🧛🏻‍♂,man vampire light skin tone,tono de piel clara de vampiro de hombre,Tom de pele leve de vampiro de homem
🧛🏾‍♂️,man vampire medium-dark skin tone,tono de piel de color vampiro vampiro medio oscuro,homem de vampiro de vampiro médio-escuro tom de pele
🧛🏾‍♂,man vampire medium-dark skin tone,tono de piel de color vampiro vampiro medio oscuro,homem de vampiro de vampiro médio-escuro tom de pele
🧛🏼‍♂️,man vampire medium-light skin tone,tono de piel de luz media de vampiros de hombre,Tom de pele de luz de vampira vampira do homem
🧛🏼‍♂,man vampire medium-light skin tone,tono de piel de luz media de vampiros de hombre,Tom de pele de luz de vampira vampira do homem
🧛🏽‍♂️,man vampire medium skin tone,tono de piel mediana vampiro de hombre,Tom de pele média vampiro de homem
🧛🏽‍♂,man vampire medium skin tone,tono de piel mediana vampiro de hombre,Tom de pele média vampiro de homem
🚶‍♂️,man walking,hombre caminando,homem andando
🚶‍♂,man walking,hombre caminando,homem andando
🚶🏿‍♂️,man walking dark skin tone,Man caminando tono de piel oscura,homem andando no tom escuro da pele
🚶🏿‍♂,man walking dark skin tone,Man caminando tono de piel oscura,homem andando no tom escuro da pele
🚶‍♂️‍➡️,man walking facing right,hombre caminando mirando a la derecha,Homem andando de frente para a direita
🚶‍♂‍➡️,man walking facing right,hombre caminando mirando a la derecha,Homem andando de frente para a direita
🚶‍♂️‍➡,man walking facing right,hombre caminando mirando a la derecha,Homem andando de frente para a direita
🚶‍♂‍➡,man walking facing right,hombre caminando mirando a la derecha,Homem andando de frente para a direita
🚶🏿‍♂️‍➡️,man walking facing right dark skin tone,Hombre caminando hacia la derecha Tono de piel oscura derecha,Homem andando de frente para o tom da pele escura direita
🚶🏿‍♂‍➡️,man walking facing right dark skin tone,Hombre caminando hacia la derecha Tono de piel oscura derecha,Homem andando de frente para o tom da pele escura direita
🚶🏿‍♂️‍➡,man walking facing right dark skin tone,Hombre caminando hacia la derecha Tono de piel oscura derecha,Homem andando de frente para o tom da pele escura direita
🚶🏿‍♂‍➡,man walking facing right dark skin tone,Hombre caminando hacia la derecha Tono de piel oscura derecha,Homem andando de frente para o tom da pele escura direita
🚶🏻‍♂️‍➡️,man walking facing right light skin tone,Hombre caminando mirando el tono de piel claro derecho,Homem andando voltado para o tom da pele clara certa
🚶🏻‍♂‍➡️,man walking facing right light skin tone,Hombre caminando mirando el tono de piel claro derecho,Homem andando voltado para o tom da pele clara certa
🚶🏻‍♂️‍➡,man walking facing right light skin tone,Hombre caminando mirando el tono de piel claro derecho,Homem andando voltado para o tom da pele clara certa
🚶🏻‍♂‍➡,man walking facing right light skin tone,Hombre caminando mirando el tono de piel claro derecho,Homem andando voltado para o tom da pele clara certa
🚶🏾‍♂️‍➡️,man walking facing right medium-dark skin tone,Hombre caminando hacia la derecha Tono de piel medio-oscuridad de la derecha,Hom
🚶🏾‍♂‍➡️,man walking facing right medium-dark skin tone,Hombre caminando hacia la derecha Tono de piel medio-oscuridad de la derecha,Hom
🚶🏾‍♂️‍➡,man walking facing right medium-dark skin tone,Hombre caminando hacia la derecha Tono de piel medio-oscuridad de la derecha,Hom
🚶🏾‍♂‍➡,man walking facing right medium-dark skin tone,Hombre caminando hacia la derecha Tono de piel medio-oscuridad de la derecha,Hom
🚶🏼‍♂️‍➡️,man walking facing right medium-light skin tone,Hombre caminando hacia la derecha Tono de piel de luz media derecha,Homem andando voltado para o tom da pele média à direita
🚶🏼‍♂‍➡️,man walking facing right medium-light skin tone,Hombre caminando hacia la derecha Tono de piel de luz media derecha,Homem andando voltado para o tom da pele média à direita
🚶🏼‍♂️‍➡,man walking facing right medium-light skin tone,Hombre caminando hacia la derecha Tono de piel de luz media derecha,Homem andando voltado para o tom da pele média à direita
🚶🏼‍♂‍➡,man walking facing right medium-light skin tone,Hombre caminando hacia la derecha Tono de piel de luz media derecha,Homem andando voltado para o tom da pele média à direita
🚶🏽‍♂️‍➡️,man walking facing right medium skin tone,Hombre caminando mirando a la derecha tono de piel medio,Homem andando voltado para o tom da pele média
🚶🏽‍♂‍➡️,man walking facing right medium skin tone,Hombre caminando mirando a la derecha tono de piel medio,Homem andando voltado para o tom da pele média
🚶🏽‍♂️‍➡,man walking facing right medium skin tone,Hombre caminando mirando a la derecha tono de piel medio,Homem andando voltado para o tom da pele média
🚶🏽‍♂‍➡,man walking facing right medium skin tone,Hombre caminando mirando a la derecha tono de piel medio,Homem andando voltado para o tom da pele média
🚶🏻‍♂️,man walking light skin tone,tono de piel clara del hombre caminando,Homem andando com tom de pele leve
🚶🏻‍♂,man walking light skin tone,tono de piel clara del hombre caminando,Homem andando com tom de pele leve
🚶🏾‍♂️,man walking medium-dark skin tone,tono de piel de color hombre caminando mediano,Homem andando no tom de pele média escuro
🚶🏾‍♂,man walking medium-dark skin tone,tono de piel de color hombre caminando mediano,Homem andando no tom de pele média escuro
🚶🏼‍♂️,man walking medium-light skin tone,Man caminando tono de piel de luz media,Homem andando no tom de pele de luz média
🚶🏼‍♂,man walking medium-light skin tone,Man caminando tono de piel de luz media,Homem andando no tom de pele de luz média
🚶🏽‍♂️,man walking medium skin tone,Man caminando tono de piel mediana,Homem andando com tom de pele média
🚶🏽‍♂,man walking medium skin tone,Man caminando tono de piel mediana,Homem andando com tom de pele média
👳‍♂️,man wearing turban,Hombre con turbante,Homem usando turbante
👳‍♂,man wearing turban,Hombre con turbante,Homem usando turbante
👳🏿‍♂️,man wearing turban dark skin tone,hombre que usa turbante tono de piel oscura,Homem vestindo um tom de pele escura de turbante
👳🏿‍♂,man wearing turban dark skin tone,hombre que usa turbante tono de piel oscura,Homem vestindo um tom de pele escura de turbante
👳🏻‍♂️,man wearing turban light skin tone,hombre que usa tono de piel clara,Homem vestindo tom de pele leve
👳🏻‍♂,man wearing turban light skin tone,hombre que usa tono de piel clara,Homem vestindo tom de pele leve
👳🏾‍♂️,man wearing turban medium-dark skin tone,Hombre que usa turbante de piel de piel media-oscura,Hom
👳🏾‍♂,man wearing turban medium-dark skin tone,Hombre que usa turbante de piel de piel media-oscura,Hom
👳🏼‍♂️,man wearing turban medium-light skin tone,Hombre que usa turbante tono de piel de luz media,Hom
👳🏼‍♂,man wearing turban medium-light skin tone,Hombre que usa turbante tono de piel de luz media,Hom
👳🏽‍♂️,man wearing turban medium skin tone,hombre que usa turbante de piel mediana,Homem vestindo tom de pele de turbante médio
👳🏽‍♂,man wearing turban medium skin tone,hombre que usa turbante de piel mediana,Homem vestindo tom de pele de turbante médio
👨‍🦳,man white hair,Hombre Cabello blanco,Cabelo branco
👰‍♂️,man with veil,Hombre con velo,Homem com véu
👰‍♂,man with veil,Hombre con velo,Homem com véu
👰🏿‍♂️,man with veil dark skin tone,Hombre con tono de piel oscura velo,Homem com um tom de pele escura do véu
